Hepatocytes	Cholangiocytes	Stellate cells	Endothelial	Lymphocytes	Macrophages	Neutrophils	Bcells.pop1	Bcells.pop2
ALB	CFTR	DCN	KDR	IL7R	NDST3	FCN1	BANK1	IGKC
ASGR1	BICC1	COL3A1	FCN3	CD96	MARCO		PAX5	FCRL5
AL391117.1	PKHD1	PTH1R	FLT1	BCL11B	CD163		IGKC	
TFR2	CTNND2	ADAMTSL2	OIT3	THEMIS	MSR1		FCRL5	
APOC1	RAYL	CCBE1	STAB2	CD247	GAS7			
ADH4		ADAMTS2	TEK	PTPRC	CD5L			
HPX		ADAMTSL1	PTPRB					
C3			FCN2					
FGB								
PLG								
FYB2								
APOB								
GHR								
TENM2								
CYP3A4								
CYP3A7								
